Institute Id,Institute Name,City,State,Score,Rank,TLR,RPC,GO,OI,Perception
NIRF-ENGG-INF-77,"Indian Institute Of Technology, Madras",Chennai,Tamil Nadu,89.41,1,88.26,94.02,81.81,86.11,98
NIRF-ENGG-INF-312,"Indian Institute Of Technology, Bombay",Mumbai,Maharashtra,87.66,2,85.93,94.14,84.97,74.84,99
NIRF-ENGG-INF-300,"Indian Institute Of Technology, Kharagpur",Kharagpur,West Bengal,83.91,3,76.23,92.68,83.95,78.05,97
NIRF-ENGG-INF-79,"Indian Institute Of Technology, Delhi",New Delhi ,Delhi,82.02,4,80.27,91.62,74.72,66.17,98
NIRF-ENGG-INF-228,"Indian Institute Of Technology, Kanpur",Kanpur,Uttar Pradesh,81.07,5,66.08,93.52,85.62,70.59,98
NIRF-ENGG-INF-78,"Indian Institute Of Technology, Roorkee",Roorkee,Uttarakhand,78.68,6,67.83,83.5,81.61,76.59,96
NIRF-ENGG-INF-345,"Indian Institute Of Technology, Hyderabad",Hyderabad,Telangana,77.22,7,76.76,76.83,80.89,63.76,95
NIRF-ENGG-INF-298,"Indian Institute Of Technology, Gandhinagar",Ahmedabad,Gujarat,75.2,8,80.36,72.09,64.91,71.94,96
NIRF-ENGG-INF-340,"Indian Institute Of Technology, Ropar-Rupnagar",Rupnagar,Punjab,74.88,9,89.96,73.56,86.42,60.67,38
NIRF-ENGG-INF-344,"Indian Institute Of Technology, Patna",Patna,Bihar,74.68,10,79.8,68.29,74.13,68.78,93
NIRF-ENGG-INF-299,"Indian Institute Of Technology, North Guwahati",Guwahati,Assam,74.62,11,71.92,78.66,71.82,65.62,94
NIRF-ENGG-INF-370,"National Institute Of Technology, Tiruchirappalli",Tiruchirappalli,Tamil Nadu,74.45,12,56.99,80.37,81.5,79.5,92
NIRF-ENGG-768,Vellore Institute Of Technology,Vellore,Tamil Nadu ,74.4,13,66.95,74.72,77.38,77.11,91
NIRF-ENGG-INF-423,"Indian Institute Of Technology (Banaras Hindu University), Varanasi",Varanasi,Uttar Pradesh,74.39,14,59.08,80.63,96.8,56.73,96
NIRF-ENGG-INF-373,Sardar Vallabhbhai National Institute Of Technology,Surat,Gujarat,73.13,15,59.02,85.24,78.43,68.81,83
