Institute Id,Institute Name,City,Score,RANK_22,TLR_2022,RP_22,GO_22,OI_22,Perception_22
IR-E-U-0456,Indian Institute of Technology Madras,Chennai,90.04,1,94.61,97.66,80.42,62.85,100
IR-E-I-1074,"Indian Institute of Technology, Delhi",New Delhi,88.12,2,86.94,96.01,83.42,68.56,96.92
IR-E-U-0306,"Indian Institute of Technology, Bombay",Mumbai,83.96,3,87.53,90.82,79.19,57.37,88.7
IR-E-I-1075,Indian Institute of Technology Kanpur,Kanpur,82.56,4,87.95,79.98,89.7,59.47,83.01
IR-E-U-0573,"Indian Institute of Technology, Kharagpur",Kharagpur,78.89,5,79.21,84.6,80.91,53.08,82.63
IR-E-U-0560,"Indian Institute of Technology, Roorkee",Roorkee,76.7,6,75.98,78.11,90.13,63.09,61.36
IR-E-U-0053,Indian Institute of Technology Guwahati,Guwahati,72.98,7,75.89,72.89,84.64,56.9,57.15
IR-E-U-0467,"National Institute of Technology, Tiruchirappalli",Tiruchirappalli,69.17,8,76.39,58.44,79.17,64.48,64.38
IR-E-U-0013,Indian Institute of Technology Hyderabad,Hyderabad,68.03,9,80.31,59.89,72.4,54.85,59.96
IR-E-U-0237,"National Institute of Technology Karnataka, Surathkal",Surathkal,66.04,10,72.86,56.42,77.7,63.89,53.24
IR-E-U-0575,Jadavpur University,Kolkata,65.68,11,71.38,64.42,78.12,52.34,40.97
IR-E-U-0490,Vellore Institute of Technology,Vellore,65.53,12,62.54,73.3,69.45,59.27,49.6
IR-E-U-0701,Indian Institute of Technology (Banaras Hindu University) Varanasi,Varanasi,63.51,13,62.62,57.26,81.72,56.06,55.89
IR-E-U-0205,Indian Institute of Technology (Indian School of Mines),Dhanbad,63.5,14,68.7,65.37,71.17,54.35,36.23
IR-E-U-0357,National Institute of Technology Rourkela,Rourkela,62.36,15,73.39,59.45,71.8,57.08,24.43
IR-E-U-0273,Indian Institute of Technology Indore, Indore,61.68,16,76.28,56.75,70.38,52.48,24.43
IR-E-U-0439,Anna University,Chennai,61.41,17,64.33,64.59,57.8,48.87,62.83
IR-E-U-0308,Institute of Chemical Technology,Mumbai,61.4,18,76.45,56.98,69.53,54.58,19.95
IR-E-U-0436,Amrita Vishwa Vidyapeetham,Coimbatore,60.92,19,68.97,58.64,61.4,61.738,41.78
IR-E-U-0184,"Indian Institute of Technology, Mandi",Mandi,60.43,20,75.77,44.05,77.55,67.16,22.57
IR-E-U-0025,National Institute of Technology Warangal,Warangal,60,21,73.99,45.7,75.11,54.91,35.77
IR-E-U-0378,Indian Institute of Technology Ropar,Rupnagar,59.16,22,81.07,38.79,68.76,63.67,30.87
IR-E-U-0139,"Indian Institute of Technology, Gandhinagar",Gandhinagar,58.27,23,80.19,39.08,64.63,60.47,35.07
IR-E-U-0473,S.R.M. Institute of Science and Technology,Chennai,58.02,24,61.2,59.21,67.17,61.76,22.89
IR-E-U-0497,Amity University,Gautam Budh Nagar,57.73,25,69.95,62.19,55.67,57.33,12.19
IR-E-U-0108,"Jamia Millia Islamia, New Delhi",New Delhi,57.51,26,59.54,57.45,73.54,60.94,16.07
IR-E-U-0363,Siksha `O` Anusandhan,Bhubaneswar,57.48,27,75.94,40.02,68.72,69.54,19.95
IR-E-I-1480,Thapar Institute of Engineering and Technology,Patiala,57.18,28,59.52,56.97,71.19,54.55,25.33
IR-E-U-0391,Birla Institute of Technology & Science - Pilani,Pilani,56.9,29,60.85,46.28,78.27,54.19,36.91
IR-E-U-0395,Indian Institute of Technology Jodhpur,Jodhpur,56.7,30,78.42,34.93,74.41,66.44,11.78
IR-E-U-0263,"National Institute of Technology, Calicut",Kozhikode,56.66,31,67.13,36.31,76.86,63.72,38.88
IR-E-U-0334,"Visvesvaraya National Institute of Technology, Nagpur",Nagpur,56.62,32,66.39,48.86,75.65,53.15,16.07
IR-E-U-0064,"Indian Institute of Technology, Patna",Patna,56.19,33,71.45,47.78,62.39,51.47,27.92
IR-E-U-0577,National Institute of Technology Durgapur,Durgapur,55.76,34,67.61,43.31,72.76,57.76,21.61
IR-E-U-0098,Delhi Technological University,New Delhi,55.65,35,68.97,34.77,73.66,56.16,42.38
IR-E-U-0355,Indian Institute of Technology Bhubaneswar,Bhubaneswar,55.11,36,70.09,36.9,70,60.78,29.29
IR-E-U-0496,Aligarh Muslim University,Aligarh,54.7,37,70.9,53.82,57,42.37,16.43
IR-E-U-0055,"National Institute of Technology, Silchar",Silchar,54.63,38,65.48,48,66.8,57.58,14.56
IR-E-U-0458,Kalasalingam Academy of Research and Education,Srivilliputtur,54.62,39,73.6,32.26,64.82,74.34,24.73
IR-E-U-0584,"Indian Institute of Engineering Science and Technology, Shibpur",HOWRAH,54.57,40,60.11,48.02,67.41,48.26,38.23
IR-E-U-0476,Shanmugha Arts Science Technology & Research Academy,Thanjavur,53.36,41,70.02,40.16,67.29,55.94,12.59
IR-E-U-0356,Kalinga Institute of Industrial Technology,BHUBANESWAR,53.06,42,70.26,35.75,58.51,76.96,18.58
IR-E-U-0255,Indian Institute of Space Science and Technology,Thiruvananthapuram,52.37,43,75.78,25.34,62.6,61.97,33.15
IR-E-U-0020,Koneru Lakshmaiah Education Foundation University (K L College of Engineering),Vaddeswaram,51.93,44,70.08,44.81,52.73,56.17,12.99
IR-E-U-0747,Chandigarh University,Mohali,51.73,45,75.92,24.84,52.44,79.48,30.61
IR-E-U-0410,Malaviya National Institute of Technology,Jaipur,51.69,46,62.58,46.35,62.2,55.14,10.53
IR-E-U-0530,Motilal Nehru National Institute of Technology,Prayagraj,51.17,47,59.01,37.98,75.22,52.14,18.23
IR-E-C-16604,Sri Sivasubramaniya Nadar College of Engineering,Kancheepuram,50.5,48,63.78,37.32,63.41,52.63,22.25
IR-E-U-0249,Visvesvaraya Technological University,Belgaum,50.2,49,72.06,40.88,52.12,52.47,6.54
IR-E-U-0172,National Institute of Technology Kurukshetra,Kurukshetra,50.11,50,57.73,43.66,63.35,55.33,14.94
IR-E-U-0379,Lovely Professional University,Phagwara,49.58,51,65.51,36.85,51.86,67.5,17.52
IR-E-U-0374,Dr. B R Ambedkar National Institute of Technology,Jalandhar,49.45,52,68.15,29.01,59.18,63.99,12.59
IR-E-U-0202,Birla Institute of Technology,Ranchi,49.33,53,66.55,34.54,56.6,50.58,26.21
IR-E-U-0474,Sathyabama Institute of Science and Technology,Chennai,48.56,54,64.87,37.36,46.77,63.38,21.93
IR-E-C-7252,Manipal Institute of Technology,Manipal,48.33,55,67.36,33.36,49.49,62.48,19.61
IR-E-U-0844,Indian Institute of Technology,Yerpedu,48.16,56,77.47,14.95,60.24,56.79,27.07
IR-E-C-37013,PSG College of Technology,Coimbatore,47.68,57,66.5,24.9,50.81,48.09,52.94
IR-E-U-0149,Sardar Vallabhbhai National Institute of Technology,Surat,47.61,58,56.53,38.64,65.09,49.87,10.53
IR-E-U-0389,Banasthali Vidyapith,Banasthali,47,59,65.21,18.25,69.77,73.14,7
IR-E-U-0619,National Institute of Technology Meghalaya,Shillong,46.67,60,66.65,27.9,57.7,62.98,4.63
IR-E-U-0564,University of Petroleum and Energy Studies,Dehradun,46.43,61,65.41,27.85,48.09,62.23,26.21
IR-E-U-0014,International Institute of Information Technology Hyderabad,Hyderabad,46.41,62,49.17,38.58,64,51.01,21.93
IR-E-U-0072,National Institute of Technology,Patna,46.24,63,60.96,32.77,65.76,42.69,7
IR-E-U-0555,Graphic Era University,Dehradun,45.87,64,71.05,18.2,48.13,67.28,27.35
IR-E-U-0092,National Institute of Technology,Raipur,45.71,65,55.61,34.77,61.22,56.62,7
IR-E-U-0197,National Institute of Technology Srinagar,Srinagar,45.52,66,63.2,19.8,64.43,65.87,11.37
IR-E-C-1331,M. S. Ramaiah Institute of Technology,Bengaluru,45.17,67,66.09,19.82,61.93,55.17,14.94
IR-E-U-0878,Indian Institute of Technology Palakkad,Palakkad,44.92,68,70.69,12.11,60.25,63.89,16.43
IR-E-U-0105,Indraprastha Institute of Information Technology Delhi,New Delhi,44.79,69,50.13,34.83,69.3,42.56,11.78
IR-E-U-0284,Maulana Azad National Institute of Technology,Bhopal,44.63,70,54.9,29.822,62.3,59.06,6.54
IR-E-U-0297,Defence Institute of Advanced Technology,Pune,44.62,71,62.13,36.01,53.95,41.34,2.64
IR-E-C-41593,College of Engineering,Pune,44.38,72,62.33,17.11,65.13,51.65,23.51
IR-E-C-36995,Sri Krishna College of Engineering and Technology,Coimbatore,44.16,73,62.39,17.13,64.52,50.18,23.82
IR-E-U-0099,Guru Gobind Singh Indraprastha University,New Delhi,44.02,74,55.21,33.01,52.63,47.6,22.57
IR-E-U-0749,Manipal University,Jaipur,43.83,75,63.54,24.44,56.68,59.53,1.6
IR-E-U-0017,Jawaharlal Nehru Technological University,Hyderabad,42.77,76,65.66,27.4,44.02,53.95,6.54
IR-E-C-24004,AU College of Engineering (A),Visakhapatnam,42.76,77,61.41,11.74,72.13,56.02,7.91
IR-E-U-0267,Atal Bihari Vajpayee Indian Institute of Information Technology and Management,Gwalior,42.56,78,52.58,20.54,71.53,56.11,7
IR-E-C-6379,Netaji Subhas University of Technology (NSUT),South West,42.14,79,52.77,19.49,68.21,44.44,23.2
IR-E-U-0493,National Institute of Technology Agartala,Agratala,41.92,80,56.59,25.44,54.19,59.64,5.12
IR-E-U-0221,International Institute of Information Technology Bangalore,Bengaluru,41.91,81,55.21,16.15,63.61,59.96,17.88
IR-E-U-0286,"Pandit Dwarka Prasad Mishra Indian Institute of Information Technology, Design and Manufacturing (IIITDM) Jabalpur",Jabalpur,41.79,82,45.78,28.74,66.45,59.38,2.12
IR-E-C-1262,B.M.S. College of Engineering,Bengaluru,41.71,83,59.48,15.52,60.73,52.29,18.23
IR-E-U-0489,Vel Tech Rangarajan Dr. Sagunthala R & D Institute of Science and Technology,Chennai,41.35,84,54.81,31.13,44.91,63.79,2.12
IR-E-C-26794,Thiagarajar College of Engineering,Madurai,41.1,85,51.94,19.32,59.66,48.59,29.29
IR-E-C-45375,"National Institute of Food Technology, Entrepreneurship and Management - Thanjavur (NIFTEM - Thanjavur)",Thanjavur,41.06,86,71.85,14.18,46.47,56.98,2.64
IR-E-U-0080,Punjab Engineering College (Deemed to be University),Chandigarh,41.05,87,50.67,17.94,65.84,53.66,19.27
IR-E-U-0620,National Institute of Technology Goa,Ponda,40.78,88,54.95,22.51,54.51,58.11,8.36
IR-E-C-1269,R.V. College of Engineering,Bengaluru,40.73,89,61.27,16.36,55.29,50.75,12.99
IR-E-U-0207,"National Institute of Technology, Jamshedpur",Jamshedpur,40.71,90,53.43,19.09,67.16,46.77,8.36
IR-E-C-19754,SR University,Warangal,40.69,91,65.52,13.28,47.9,62.23,12.59
IR-E-U-0078,Panjab University,Chandigarh,40.58,92,40.83,45.39,44.4,46.52,11.78
IR-E-U-0516,Indian Institute of Information Technology Allahabad,Prayagraj (Allahabad),40.53,93,42.53,18.48,73.98,51.68,22.57
IR-E-U-0522,Jaypee Institute of Information Technology,Noida,40.5,94,51.63,25.12,59.97,48.68,6.07
IR-E-C-16626,Rajalakshmi Engineering College,Chennai,40.47,95,65.04,9.2,59.85,59.19,3.14
IR-E-U-0163,The Northcap University,Gurugram,40.33,96,64.69,14.58,54.88,51.64,4.14
IR-E-C-1297,Siddaganga Institute of Technology,Tumkur,40.24,97,61.64,14.03,55.39,51.19,13.39
R-E-C-30045,"C.V. Raman Global University, Odisha",Bhubaneswar,40.19,98,63.66,5.32,59.35,63.98,12.19
IR-E-U-0043,"Vignan's Foundation for Science, Technology and Research",Guntur,40.16,99,61.64,21.12,46.96,56.3,3.14
IR-E-U-0733,PES University,Bengaluru,40.14,100,56.27,14.93,63.78,51.02,9.24
IR-E-U-0201,Shri Mata Vaishno Devi University,Katra,40.08,101,61.82,24.29,48.15,44.01,2.12
IR-E-U-0011,Gandhi Institute of Technology and Managemen,Visakhapatnam,39.92,102,51.11,21.08,63.87,49.8,5.12
