Institute Id,Institute Name,City,State,Rank_24,Score_23,Rank_23,TLR_23,RPC_23,GO_23,OI_23,Perception_23,Score_22,Rank_22,TLR_22,RPC_22,GO_22,OI_22,Perception_22,Score_21,Rank_21,TLR_21,RPC_21,GO_21,OI_21,Perception_21,Score_20,Rank_20,TLR_20,RPC_20,GO_20,OI_20,Perception_20,Score_19,Rank_19,TLR_19,RPC_19,GO_19,OI_19,Perception_19,Score_18,Rank_18,TLR_18,RPC_18,GO_18,OI_18,Perception_18,Score_17,Rank_17,TLR_17,RPC_17,GO_17,OI_17,Perception_17,Score_16,Rank_16,TLR_16,RPC_16,GO_16,OI_16,Perception_16
IR-E-U-0456,Indian Institute of Technology Madras,Chennai,Tamil Nadu,,89.79,1,95.19,96.41,79.89,63.26,100,90.04,1,94.61,97.66,80.42,62.85,100,90.19,1,95.47,96.43,81.92,62.44,100,89.93,1,95.42,94.64,83.9,61.31,100,89.05,1,93.55,92.39,84.36,63.99,100,88.95,1,93.83,91.44,84.91,63.88,100,87.96,1,91.85,92.6,83.78,77.19,81.46,89.41,1,88.26,94.02,81.81,86.11,98
IR-E-I-1074,Indian Institute of Technology Delhi,New Delhi,Delhi,,87.09,2,84.89,94.74,85,67.92,94.07,88.12,2,86.94,96.01,83.42,68.56,96.92,88.96,2,91.76,95.82,80.97,66.39,98.63,88.08,2,90.79,96.15,80.36,64.81,94.46,85.36,2,85.8,96.18,80.32,56.19,90.85,82.18,3,80.83,89.35,81.47,59.72,88.6,81.08,4,79.63,89.47,77.45,71.41,77.24,82.02,4,80.27,91.62,74.72,66.17,98
IR-E-U-0306,Indian Institute of Technology Bombay,Mumbai,Maharashtra,,80.74,3,79.12,87.94,81.93,56.89,85.36,83.96,3,87.53,90.82,79.19,57.37,88.7,85.16,3,89.32,92.56,79.71,53.68,92.88,85.08,3,91,93.37,77.6,49.99,92.51,84.4,3,89.12,95.3,76.47,48.17,89.61,84.82,2,89.61,96.04,76.53,44.71,93.48,87.87,2,91.15,94.68,83.64,69.7,84.24,87.66,2,85.93,94.14,84.97,74.84,99
IR-E-I-1075,Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,,80.65,4,84.35,80.16,88.99,58.82,76.15,82.56,4,87.95,79.98,89.7,59.47,83.01,83.22,4,86.71,83.13,89.79,55.96,87.05,82.18,4,86.22,82.08,88.44,54.21,85.78,77.57,5,79.07,81.79,82.56,46.61,81.35,75.24,5,78.51,77.15,78.99,41.46,85.89,76.83,5,84.28,77.28,74.29,61.35,73.59,81.07,5,66.08,93.52,85.62,70.59,98
IR-E-U-0573,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,,73.76,6,67.27,78.3,84.68,56.04,75.51,78.89,5,79.21,84.6,80.91,53.08,82.63,82.03,5,80.51,88.59,83.01,58.46,88.5,80.56,5,77.32,87.11,83.21,56.62,89.31,79.41,4,73.14,88.2,84.12,57.79,84.14,77.78,4,73.73,84.26,85.65,53.99,78.51,81.93,3,76.03,89.23,88.02,74.11,73.43,83.91,3,76.23,92.68,83.95,78.05,97
IR-E-U-0560,Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,,75.64,5,74.55,78.36,88.91,60.42,59.37,76.7,6,75.98,78.11,90.13,63.09,61.36,78.08,6,79.28,78.13,90.74,63.36,63.59,76.29,6,77.21,76.57,89.65,61.71,60.55,74.57,6,75.05,75.9,89.84,58.65,54.61,72.57,6,72.8,72.08,88.9,56.66,56.63,73.1,6,72.3,74.36,88.31,70.95,43.47,78.68,6,67.83,83.5,81.61,76.59,96
IR-E-U-0053,Indian Institute of Technology Guwahati,Guwahati,Assam,,70.32,7,67.7,74.99,85.01,54.95,50.09,72.98,7,75.89,72.89,84.64,56.9,57.15,73.84,7,79.25,70.32,84.63,59.83,60.58,74.9,7,83.04,70.73,83.03,59.13,62.45,70.87,7,82.55,63.6,78.45,58.86,54.49,69.25,7,86.29,61.54,76.51,50.46,45.49,72.3,7,89.29,59.98,77.08,80.11,40.95,74.62,11,71.92,78.66,71.82,65.62,94
IR-E-U-0013,Indian Institute of Technology Hyderabad,Hyderabad,Telangana,,70.28,8,83.86,61.12,75.92,55.95,60.04,68.03,9,80.31,59.89,72.4,54.85,59.96,68.69,8,82.6,56.9,72.54,56.58,66.7,66.44,8,82.51,52.47,71.54,55.98,60.42,63.92,8,78.91,49.18,71.71,56.21,55.38,60.87,9,80.63,44.22,71.03,55.11,36.94,60.24,10,82.6,36.21,71.26,73.75,29.72,77.22,7,76.76,76.83,80.89,63.76,95
IR-E-U-0467,National Institute of Technology Tiruchirappalli,Tiruchirappalli,Tamil Nadu,,69.71,9,73.73,61.45,78.82,65.86,67.98,69.17,8,76.39,58.44,79.17,64.48,64.38,66.08,9,70,54.63,78.13,61.35,69.32,64.1,9,72.11,50.04,74.71,61.49,63.68,61.62,10,68.36,46.64,72.76,62.2,63.54,60.35,11,66.49,46.44,72.02,60.96,59.69,59.44,11,62,46.27,74.38,75.81,45.04,74.45,12,56.99,80.37,81.5,79.5,92
IR-E-U-0237,National Institute of Technology Karnataka,Surathkal,Karnataka,,65.26,12,72.8,56.09,77.23,62.95,48.38,66.04,10,72.86,56.42,77.7,63.89,53.24,64.19,10,73.15,50.17,78.62,64.54,50.18,61.3,13,68.93,46.03,78.67,55.24,55.59,55.25,21,59.48,41.31,75.46,50.4,48.85,53.16,21,60.34,38.36,71.27,51.1,41.93,52.87,22,62.53,32.6,73.71,64.28,31.56,68.95,22,60.26,67.86,77.29,70.22,88
